salt,temp,datetime,class
35.36481764634567,27.04457428298486,2001-01-15,EAC
35.36226825849673,27.130808941152768,2001-01-15,EAC
35.369706631854946,27.142244505114814,2001-01-15,EAC
35.39057952934422,27.142293852316534,2001-01-15,EAC
35.413165232539384,27.15987262477826,2001-01-15,EAC
35.41424473375561,27.092167387252967,2001-01-15,EAC
35.39562358204565,26.88094611463686,2001-01-15,EAC
35.393791329030485,26.622532067969356,2001-01-15,EAC
35.40954722409037,26.542834332518606,2001-01-15,EAC
35.41040062646543,26.607343623499386,2001-01-15,EAC
35.36967105323482,26.762306608983955,2001-01-15,EAC
35.37985400408527,26.950587572146635,2001-01-15,EAC
35.380782573024206,27.020509211114632,2001-01-15,EAC
35.392548736797146,27.03131190852793,2001-01-15,EAC
35.419006216335006,27.04316339307629,2001-01-15,EAC
35.45021360957722,27.016004076020813,2001-01-15,EAC
35.47209081049485,26.79281788483709,2001-01-15,EAC
35.47418124708961,26.34054938374643,2001-01-15,EAC
35.49065933281009,25.9885309606313,2001-01-15,EAC
35.4929230691955,26.01959768750284,2001-01-15,EAC
35.46181250849896,26.258655953206226,2001-01-15,EAC
35.393129669692335,26.60840591306316,2001-01-15,EAC
35.402212448415305,26.77506444466685,2001-01-15,EAC
35.40508797579998,26.818324648705527,2001-01-15,EAC
35.41994458722877,26.829858701649,2001-01-15,EAC
35.43479259672776,26.8708454327469,2001-01-15,EAC
35.4450464182407,26.903317319871928,2001-01-15,EAC
35.461836721322356,26.708234114253298,2001-01-15,EAC
35.46066445317196,26.125961487944856,2001-01-15,EAC
35.49691039758144,25.720060591223486,2001-01-15,EAC
35.51162939971292,25.80137427057969,2001-01-15,EAC
35.476247858393215,26.13877113661672,2001-01-15,EAC
35.39758606758924,26.58952506061552,2001-01-15,EAC
35.42981929760117,26.55080999652194,2001-01-15,EAC
35.44251204948959,26.59952933494853,2001-01-15,EAC
35.44610726365714,26.54466674205254,2001-01-15,EAC
35.44502352561842,26.574466604943918,2001-01-15,EAC
35.41997361936495,26.674505366764794,2001-01-15,EAC
35.383117205511425,26.780156326895607,2001-01-15,EAC
35.3520646313825,26.457023389402078,2001-01-15,EAC
35.36644198751916,26.160085684644564,2001-01-15,EAC
35.38018127377292,26.236656704069258,2001-01-15,EAC
35.37840795468859,26.410844068133798,2001-01-15,EAC
35.350174714240815,26.65508509985113,2001-01-15,EAC
35.460594396283696,26.284221057032564,2001-01-15,EAC
35.463861236279605,26.255472432136227,2001-01-15,EAC
35.472678612969986,26.26633056291591,2001-01-15,EAC
35.4710909216721,26.305153367639324,2001-01-15,EAC
35.446253000674275,26.37257673435914,2001-01-15,EAC
35.39773643475829,26.4583260131868,2001-01-15,EAC
35.341846327011474,26.44177227649336,2001-01-15,EAC
35.29988232419807,26.506483296695254,2001-01-15,EAC
35.32198428038043,26.45517191937548,2001-01-15,EAC
35.33965614806397,26.445663392947885,2001-01-15,EAC
35.32177100719749,26.522501815180327,2001-01-15,EAC
35.50083863836893,26.004620860963,2001-01-15,EAC
35.510930877493905,26.043169088432602,2001-01-15,EAC
35.51370111349568,26.03864090552011,2001-01-15,EAC
35.511415348380574,26.12917466371066,2001-01-15,EAC
35.485380470108545,26.22431002499577,2001-01-15,EAC
35.44280451151755,26.282767589577027,2001-01-15,EAC
35.40395368072726,26.262893200990653,2001-01-15,EAC
35.360415767816825,26.344833990909045,2001-01-15,EAC
35.35091399994462,26.329958452020637,2001-01-15,EAC
35.38699567431312,26.170162723326996,2001-01-15,EAC
35.38185151785436,26.233840522805096,2001-01-15,EAC
35.53162076214043,25.61899983805794,2001-01-15,EAC
35.540147889022776,25.792712128064593,2001-01-15,EAC
35.5508149387346,25.838492196326953,2001-01-15,EAC
35.54462894492423,25.975384247569718,2001-01-15,EAC
35.50620445579878,26.116620604387393,2001-01-15,EAC
35.4617410563252,26.220860585634906,2001-01-15,EAC
35.4420487823855,26.258103224953608,2001-01-15,EAC
35.44071799835753,26.211261249579383,2001-01-15,EAC
35.477212315689435,26.036214542208977,2001-01-15,EAC
35.51645121769026,25.91314505541521,2001-01-15,EAC
35.488437027286906,26.0384298211634,2001-01-15,EAC
35.5561794150701,25.363585631188645,2001-01-15,EAC
35.548381322635386,25.507827892486787,2001-01-15,EAC
35.557190556670626,25.68542426085097,2001-01-15,EAC
35.54708003132924,25.848467626586697,2001-01-15,EAC
35.49932637843317,26.005063764426247,2001-01-15,EAC
35.45000634178309,26.145722881469833,2001-01-15,EAC
35.42761940285364,26.26885785212705,2001-01-15,EAC
35.45206037348831,26.20153637628855,2001-01-15,EAC
35.54271240704224,26.016351711768603,2001-01-15,EAC
35.601504471143,25.98779998327488,2001-01-15,EAC
35.52960528173187,26.238253717136867,2001-01-15,EAC
35.56787167392912,25.220098215411817,2001-01-15,EAC
35.548591488758944,25.37787167798668,2001-01-15,EAC
35.54035452238337,25.5903657962009,2001-01-15,EAC
35.522030269034836,25.776802472197552,2001-01-15,EAC
35.48150170361844,25.9203659884731,2001-01-15,EAC
35.44545251528038,25.98437795530969,2001-01-15,EAC
35.43048042765006,25.960664294086246,2001-01-15,EAC
35.46718998264563,25.91790967554855,2001-01-15,EAC
35.5483132240013,25.921829969518086,2001-01-15,EAC
35.56460125188732,26.033298326068014,2001-01-15,EAC
35.50166671629919,26.257537341249126,2001-01-15,EAC
35.583177422958364,25.071480507629868,2001-01-15,EAC
35.553565797263715,25.2603144954359,2001-01-15,EAC
35.52813387533527,25.50111743644671,2001-01-15,EAC
35.501590569068796,25.725052307952307,2001-01-15,EAC
35.47534906772021,25.85112360245624,2001-01-15,EAC
35.45287365672265,25.842436751419225,2001-01-15,EAC
35.446795370409085,25.68336490880249,2001-01-15,EAC
35.47569269078105,25.617344980668168,2001-01-15,EAC
35.49056952613734,25.650457103799162,2001-01-15,EAC
35.48187238669874,25.800914419844457,2001-01-15,EAC
35.44495254978599,26.019412072029372,2001-01-15,EAC
35.60155164569721,24.950974487318778,2001-01-15,EAC
35.56686301032891,25.136436292769417,2001-01-15,EAC
35.532870652292864,25.364756071397597,2001-01-15,EAC
35.50398164319683,25.587464045920566,2001-01-15,EAC
35.48837480213264,25.686357311428917,2001-01-15,EAC
35.48026652453015,25.68148871806583,2001-01-15,EAC
35.485100038287676,25.586141177965946,2001-01-15,EAC
