lon,lat,class,datetime,seed,eta_rho,xi_rho,temp,salt
151.9986982817152,-34.51956252757093,EAC,1998-05-12 12:00:00,354346,99,101,17.770780563354492,35.548431396484375
151.84950027697195,-34.51045616898253,EAC,1998-05-12 12:00:00,354346,99,96,17.67752456665039,35.547298431396484
151.74450908844892,-34.51956252757093,EAC,1998-05-12 12:00:00,354346,98,92,17.740013122558594,35.59297180175781
151.78319005264163,-34.59237755388789,EAC,1998-05-12 12:00:00,354346,97,95,17.657854080200195,35.576175689697266
152.04843094996295,-34.61966675302936,EAC,1998-05-12 12:00:00,354346,98,104,17.830656051635742,35.54911422729492
152.24736162295395,-34.56052882214215,EAC,1998-05-12 12:00:00,354346,100,110,17.77056312561035,35.54827880859375
152.10921532226575,-34.51956252757093,EAC,1998-05-12 12:00:00,354346,100,105,17.803064346313477,35.54818344116211
151.8992329452197,-34.51500947268661,EAC,1998-05-12 12:00:00,354346,99,98,17.72808837890625,35.54713439941406
151.7389832364214,-34.49224046627178,EAC,1998-05-12 12:00:00,354346,98,92,17.740013122558594,35.59297180175781
151.94343976143992,-34.61966675302936,EAC,1998-05-12 12:00:00,354346,97,101,17.792980194091797,35.549293518066406
151.55110426748547,-35.93684032673004,EAC,1998-05-12 12:00:00,354346,67,106,16.694683074951172,35.56745147705078
151.57320767559557,-36.142380137294786,EAC,1998-05-12 12:00:00,354346,63,109,16.35715675354004,35.53586196899414
151.5953110837057,-36.35183344671725,EAC,1998-05-12 12:00:00,354346,58,113,16.47681999206543,35.54506301879883
151.67267301209108,-36.498560653036904,EAC,1998-05-12 12:00:00,354346,56,118,16.756452560424805,35.56484603881836
150.2414773369614,-35.932366114198295,EAC,1998-05-12 12:00:00,354346,59,61,15.79450511932373,35.58032989501953
150.363046081567,-35.65896078292318,EAC,1998-05-12 12:00:00,354346,65,61,15.72187328338623,35.5731201171875
150.53434749442036,-35.389121182642,EAC,1998-05-12 12:00:00,354346,72,63,15.812255859375,35.56325149536133
148.08086919419804,-37.954859147085195,BS,1998-05-12 12:00:00,354346,3,21,12.483832359313965,35.547245025634766
148.22454134691378,-37.92871183652023,BS,1998-05-12 12:00:00,354346,5,24,12.396230697631836,35.56147003173828
148.37926520368455,-37.89819488417511,BS,1998-05-12 12:00:00,354346,6,29,12.475154876708984,35.552371978759766
148.55609246856545,-37.8894734298818,BS,1998-05-12 12:00:00,354346,7,34,12.520609855651855,35.54743576049805
148.38479105571207,-37.95921612765724,BS,1998-05-12 12:00:00,354346,5,30,12.569209098815918,35.529197692871094
148.62240269289578,-37.86766527402747,BS,1998-05-12 12:00:00,354346,8,36,12.476126670837402,35.557621002197266
148.97053137063003,-37.845850661855884,BS,1998-05-12 12:00:00,354346,11,46,12.890121459960938,35.54773712158203
149.11972937537325,-37.83275879604126,BS,1998-05-12 12:00:00,354346,12,51,13.061079025268555,35.54569625854492
150.34094267345688,-37.95921612765724,BS,1998-05-12 12:00:00,354346,17,93,17.909128189086914,35.6485710144043
150.36857193359452,-37.91127512817125,BS,1998-05-12 12:00:00,354346,18,93,17.96811294555664,35.64849090576172
150.4238304538698,-37.749789699066525,BS,1998-05-12 12:00:00,354346,22,93,18.269123077392578,35.665096282958984
150.46803727009004,-37.85021410073556,BS,1998-05-12 12:00:00,354346,20,96,18.38038444519043,35.66995620727539
150.363046081567,-37.906915305178316,BS,1998-05-12 12:00:00,354346,18,93,17.96811294555664,35.64849090576172
150.26910659709904,-37.94178665470044,BS,1998-05-12 12:00:00,354346,17,91,17.533323287963867,35.63334655761719
150.28568415318162,-38.02018671276332,BS,1998-05-12 12:00:00,354346,15,92,17.312374114990234,35.62126541137695
150.41830460184227,-38.02018671276332,BS,1998-05-12 12:00:00,354346,16,97,18.167509078979492,35.65707778930664
150.4459338619799,-37.76726461912071,BS,1998-05-12 12:00:00,354346,21,94,18.289535522460938,35.66584777832031
151.75003494047647,-37.56167375394988,BS,1998-05-12 12:00:00,354346,34,134,18.34099578857422,35.66716384887695
151.7334573843939,-37.73668080019659,BS,1998-05-12 12:00:00,354346,30,135,18.587493896484375,35.677093505859375
151.7389832364214,-37.56605395484139,BS,1998-05-12 12:00:00,354346,34,134,18.34099578857422,35.66716384887695
152.1147411742933,-37.552912579567305,BS,1998-05-12 12:00:00,354346,36,144,17.04677963256836,35.595542907714844
152.31919769931181,-37.63172605671703,BS,1998-05-12 12:00:00,354346,36,150,15.821776390075684,35.510738372802734
150.62828697888833,-37.399425361440784,BS,1998-05-12 12:00:00,354346,30,95,18.39532470703125,35.669002532958984
150.56750260658552,-37.44331101542948,BS,1998-05-12 12:00:00,354346,29,94,18.37859535217285,35.66911697387695
150.561976754558,-37.53976888665158,BS,1998-05-12 12:00:00,354346,27,95,18.434207916259766,35.6710319519043
150.4404080099524,-37.70608434173356,BS,1998-05-12 12:00:00,354346,23,93,18.350801467895508,35.669490814208984
152.059482654018,-35.42965494018114,EAC,2001-04-25 12:00:00,354346,81,116,19.247344970703125,35.67884826660156
152.0981636182107,-35.54214169183466,EAC,2001-04-25 12:00:00,354346,79,119,19.225736618041992,35.675296783447266
152.14789628645846,-35.65896078292318,EAC,2001-04-25 12:00:00,354346,76,122,19.22190284729004,35.67580795288086
152.34682695944946,-35.79353998741186,EAC,2001-04-25 12:00:00,354346,75,130,19.23844337463379,35.67547607421875
152.24736162295395,-35.54214169183466,EAC,2001-04-25 12:00:00,354346,79,124,19.249465942382812,35.67645263671875
152.2805167351191,-35.226782446812,EAC,2001-04-25 12:00:00,354346,86,121,19.224231719970703,35.682891845703125
