lon,lat,class,datetime,seed,eta_rho,xi_rho,temp,salt
151.7389832364214,-34.83765715591859,EAC,2002-09-29 12:00:00,880735,91,97,19.8734130859375,35.56730270385742
151.61188863978828,-34.89206486425913,EAC,2002-09-29 12:00:00,880735,89,93,18.639690399169922,35.529117584228516
151.7334573843939,-34.66512881668319,EAC,2002-09-29 12:00:00,880735,95,94,18.775562286376953,35.559791564941406
151.45163893098996,-35.86522254571181,EAC,2002-09-29 12:00:00,880735,68,101,18.384592056274414,35.52480697631836
151.08693269717313,-35.8114666969274,EAC,2002-09-29 12:00:00,880735,67,88,19.49198341369629,35.64149856567383
151.1366653654209,-36.075415242017215,EAC,2002-09-29 12:00:00,880735,61,93,19.439958572387695,35.634620666503906
151.45163893098996,-36.71148655623678,EAC,2002-09-29 12:00:00,880735,50,113,20.841230392456055,35.60151672363281
151.75003494047647,-36.79118213675013,EAC,2002-09-29 12:00:00,880735,50,124,19.88019371032715,35.6439208984375
151.83292272088937,-36.400773321892366,EAC,2002-09-29 12:00:00,880735,59,122,20.91356086730957,35.60350036621094
151.69477642020118,-35.88313306592468,EAC,2002-09-29 12:00:00,880735,69,110,20.623693466186523,35.58420944213867
151.95449146549498,-35.50166459977182,EAC,2002-09-29 12:00:00,880735,78,113,20.842647552490234,35.63869857788086
152.28604258714665,-35.80250384787546,EAC,2002-09-29 12:00:00,880735,74,129,20.846601486206055,35.6344108581543
152.3357752553944,-35.94578799204725,EAC,2002-09-29 12:00:00,880735,71,132,20.913894653320312,35.64116287231445
150.94326054445742,-36.3696333276853,BS,2002-09-29 12:00:00,880735,54,91,18.20751190185547,35.558006286621094
150.95983810054,-36.485233276496736,BS,2002-09-29 12:00:00,880735,52,93,18.112815856933594,35.54819869995117
149.83256428692434,-37.72356957977849,BS,2002-09-29 12:00:00,880735,19,73,17.2470645904541,35.61173629760742
149.21366885984125,-37.89383428618476,BS,2002-09-29 12:00:00,880735,11,55,17.308246612548828,35.61004638671875
148.5284632084278,-37.989707754196296,BS,2002-09-29 12:00:00,880735,5,34,15.758090019226074,35.62367248535156
149.35734101255696,-38.0245398153853,BS,2002-09-29 12:00:00,880735,9,61,17.355409622192383,35.59196090698242
