lon,lat,class,datetime,seed,eta_rho,xi_rho,temp,salt
151.6229403438433,-35.036975980906405,EAC,1997-03-16 12:00:00,484361,86,96,20.38349723815918,35.62678909301758
151.72793153236634,-35.30348299987349,EAC,1997-03-16 12:00:00,484361,81,103,20.42038345336914,35.63042068481445
151.87160368508208,-36.458571644551235,EAC,1997-03-16 12:00:00,484361,58,124,20.219730377197266,35.65302658081055
151.11456195731077,-36.70262638261906,EAC,1997-03-16 12:00:00,484361,48,102,19.642038345336914,35.65009307861328
151.00404491676022,-36.43634661323471,EAC,1997-03-16 12:00:00,484361,53,94,18.846546173095703,35.54928970336914
150.47356312211755,-37.135571811160524,EAC,1997-03-16 12:00:00,484361,35,86,18.174091339111328,35.58436965942383
150.4404080099524,-37.386254650428505,EAC,1997-03-16 12:00:00,484361,29,88,18.39712142944336,35.579383850097656
150.363046081567,-37.6798487485234,EAC,1997-03-16 12:00:00,484361,23,90,18.411846160888672,35.57633590698242
150.98746736067764,-37.34672863445311,EAC,1997-03-16 12:00:00,484361,34,106,20.12145233154297,35.65532302856445
150.79958839174168,-35.66345041861458,EAC,1997-03-16 12:00:00,484361,68,76,17.96428108215332,35.53533935546875
151.35217359449447,-34.89659721495524,EAC,1997-03-16 12:00:00,484361,87,84,20.43764305114746,35.625648498535156
151.6395178999259,-34.63785456932735,EAC,1997-03-16 12:00:00,484361,95,90,20.483556747436523,35.62556076049805
151.40743211476973,-34.964552459110116,EAC,1997-03-16 12:00:00,484361,86,87,20.436336517333984,35.624305725097656
151.17534632961357,-35.23129625362049,EAC,1997-03-16 12:00:00,484361,79,83,19.992082595825195,35.622581481933594
151.58978523167815,-37.66235319657921,EAC,1997-03-16 12:00:00,484361,31,130,20.402448654174805,35.63513946533203
152.10921532226575,-37.73668080019659,EAC,1997-03-16 12:00:00,484361,32,146,20.50920867919922,35.622249603271484
150.21937392885127,-37.73668080019659,EAC,1997-03-16 12:00:00,484361,21,86,18.03168296813965,35.57307052612305
150.09227933221814,-37.91563469281185,EAC,1997-03-16 12:00:00,484361,16,84,17.667339324951172,35.5683708190918
150.33541682142936,-37.250021857797385,EAC,1997-03-16 12:00:00,484361,32,83,17.757455825805664,35.55585479736328
150.28015830115407,-36.817728930142856,EAC,1997-03-16 12:00:00,484361,40,75,17.39373207092285,35.50053787231445
150.49566653022768,-35.95920759046333,EAC,1997-03-16 12:00:00,484361,60,70,18.626922607421875,35.6107063293457
150.6227611268608,-35.69935841511968,EAC,1997-03-16 12:00:00,484361,66,71,18.254728317260742,35.55202865600586
150.7222264633563,-35.492666918559856,EAC,1997-03-16 12:00:00,484361,71,71,17.95686912536621,35.5368766784668
151.0758809931181,-35.10481478878708,EAC,1997-03-16 12:00:00,484361,81,78,19.928918838500977,35.605255126953125
148.0919208982531,-37.97228551856675,BS,1997-03-16 12:00:00,484361,3,21,13.945280075073242,35.695640563964844
148.0919208982531,-37.97228551856675,BS,1997-03-16 12:00:00,484361,3,21,13.945280075073242,35.695640563964844
148.24111890299636,-37.906915305178316,BS,1997-03-16 12:00:00,484361,5,25,13.79883861541748,35.70083999633789
148.37373935165704,-37.906915305178316,BS,1997-03-16 12:00:00,484361,6,29,13.8568754196167,35.698707580566406
148.56161832059297,-37.89383428618476,BS,1997-03-16 12:00:00,484361,7,34,13.893426895141602,35.695858001708984
148.87659188616206,-37.86766527402747,BS,1997-03-16 12:00:00,484361,10,44,15.52700424194336,35.6063346862793
149.08104841118057,-37.845850661855884,BS,1997-03-16 12:00:00,484361,12,50,15.67299747467041,35.59199523925781
149.58942679771312,-37.771632704107134,BS,1997-03-16 12:00:00,484361,16,66,16.45115089416504,35.55152893066406
149.77177991462153,-37.67110148814354,BS,1997-03-16 12:00:00,484361,19,70,17.071182250976562,35.53773498535156
150.0646500720805,-37.51347454902781,BS,1997-03-16 12:00:00,484361,24,78,17.5656795501709,35.56787872314453
150.1033310362732,-37.59670814917724,BS,1997-03-16 12:00:00,484361,23,80,17.712505340576172,35.566375732421875
150.09227933221814,-37.70171238750107,BS,1997-03-16 12:00:00,484361,21,81,17.50772476196289,35.56755065917969
150.05912422005298,-37.797835795016745,BS,1997-03-16 12:00:00,484361,18,82,17.368549346923828,35.56342697143555
150.03149495991534,-37.8894734298818,BS,1997-03-16 12:00:00,484361,16,82,17.630504608154297,35.56498336791992
149.9817622916676,-37.950501908061796,BS,1997-03-16 12:00:00,484361,15,81,17.543880462646484,35.56039047241211
149.93755547544737,-37.998417320869954,BS,1997-03-16 12:00:00,484361,13,80,17.029802322387695,35.55733871459961
150.07017592410804,-37.35551399294816,BS,1997-03-16 12:00:00,484361,28,76,17.669376373291016,35.557525634765625
150.1254344443833,-37.21042416761785,BS,1997-03-16 12:00:00,484361,31,75,17.62904167175293,35.559349060058594
150.23595148493388,-36.08434719300935,BS,1997-03-16 12:00:00,484361,56,63,17.80204200744629,35.60899353027344
150.23595148493388,-36.08434719300935,BS,1997-03-16 12:00:00,484361,56,63,17.80204200744629,35.60899353027344
150.2470031889889,-35.98156852146962,BS,1997-03-16 12:00:00,484361,58,62,17.838481903076172,35.57941818237305
150.2635807450715,-35.88313306592468,BS,1997-03-16 12:00:00,484361,60,61,17.855356216430664,35.5633544921875
150.31883926534678,-35.7890576779336,BS,1997-03-16 12:00:00,484361,62,62,17.991352081298828,35.558433532714844
150.35199437751194,-35.703845778354435,BS,1997-03-16 12:00:00,484361,64,61,17.86735725402832,35.55678939819336
