lon,lat,class,datetime,seed,eta_rho,xi_rho,temp,salt
148.17480867866604,-37.950501908061796,BS,2011-04-10 12:00:00,497049,4,23,18.761211395263672,35.58622360229492
148.40136861179462,-37.89819488417511,BS,2011-04-10 12:00:00,497049,6,29,18.919313430786133,35.584938049316406
148.6887129172261,-37.8894734298818,BS,2011-04-10 12:00:00,497049,8,38,19.378931045532227,35.59697723388672
148.93185040643732,-37.872027421743695,BS,2011-04-10 12:00:00,497049,10,45,19.54454040527344,35.59861373901367
149.62258190987828,-37.81529936058696,BS,2011-04-10 12:00:00,497049,15,67,20.14554023742676,35.58279037475586
149.94860717950243,-37.62297312584394,BS,2011-04-10 12:00:00,497049,21,75,20.269960403442386,35.587459564208984
150.03149495991536,-37.6798487485234,BS,2011-04-10 12:00:00,497049,21,79,20.54725646972656,35.57789993286133
150.05359836802546,-37.74105069111664,BS,2011-04-10 12:00:00,497049,20,81,20.32118225097656,35.57487487792969
150.05912422005298,-37.81529936058696,BS,2011-04-10 12:00:00,497049,18,82,20.57137107849121,35.56988525390625
151.7942417566967,-35.64998075426853,EAC,2003-04-02 12:00:00,497049,74,110,21.885114669799805,35.676876068115234
151.79976760872418,-35.84282870222484,EAC,2003-04-02 12:00:00,497049,70,113,22.005056381225586,35.71859359741211
151.53452671140292,-36.079881344340905,EAC,2003-04-02 12:00:00,497049,64,107,22.133901596069336,35.71449661254883
151.3798028546321,-36.115601030274576,EAC,2003-04-02 12:00:00,497049,62,102,22.1279354095459,35.716041564941406
150.91563128431974,-35.87417831194325,EAC,2003-04-02 12:00:00,497049,64,83,21.816085815429688,35.6484375
150.83826935593441,-36.05754829642497,EAC,2003-04-02 12:00:00,497049,60,83,21.872217178344727,35.6697883605957
150.83274350390687,-36.29395572438789,EAC,2003-04-02 12:00:00,497049,55,86,21.95084571838379,35.692527770996094
150.83274350390687,-36.49411844899526,EAC,2003-04-02 12:00:00,497049,51,89,21.971284866333008,35.69942092895508
150.83274350390687,-36.671607731428296,EAC,2003-04-02 12:00:00,497049,47,92,21.986143112182614,35.70012664794922
150.8769503201271,-36.05754829642497,EAC,2003-04-02 12:00:00,497049,60,84,21.90152931213379,35.67741775512695
150.87142446809955,-35.66793980186421,EAC,2003-04-02 12:00:00,497049,68,79,21.718952178955078,35.598663330078125
150.97088980459506,-35.24483616723299,EAC,2003-04-02 12:00:00,497049,78,76,20.96648979187012,35.57062530517578
151.20297558975122,-35.15904521911512,EAC,2003-04-02 12:00:00,497049,81,83,20.82417297363281,35.607444763183594
151.29691507421919,-35.10481478878708,EAC,2003-04-02 12:00:00,497049,83,85,20.775297164916992,35.609375
151.86055198102704,-35.23580980930284,EAC,2003-04-02 12:00:00,497049,83,106,21.67971611022949,35.57051467895508
152.20315480673372,-35.18163056988286,EAC,2003-04-02 12:00:00,497049,87,118,21.210073471069336,35.55915069580078
152.20315480673372,-35.815947742141134,EAC,2003-04-02 12:00:00,497049,73,126,21.87453842163086,35.67859268188477
151.94896561346746,-36.04414542447543,EAC,2003-04-02 12:00:00,497049,67,121,22.103137969970703,35.7216911315918
151.77213834858657,-36.222662619607455,EAC,2003-04-02 12:00:00,497049,62,117,22.148639678955078,35.71295166015625
151.60083693573318,-36.240491995213645,EAC,2003-04-02 12:00:00,497049,61,112,22.149152755737305,35.71116638183594
151.47926819112757,-36.43634661323471,EAC,2003-04-02 12:00:00,497049,56,110,22.13971328735352,35.711124420166016
151.6781988641186,-36.88847537387847,EAC,2003-04-02 12:00:00,497049,47,123,22.10247611999512,35.71836853027344
151.58425937965063,-37.29399489715345,EAC,2003-04-02 12:00:00,497049,38,125,21.886049270629886,35.68124389648437
151.56768182356805,-37.465244196146884,EAC,2003-04-02 12:00:00,497049,35,127,21.78917121887207,35.640892028808594
151.56768182356805,-37.64485352022687,EAC,2003-04-02 12:00:00,497049,31,129,21.36692237854004,35.61557006835937
151.5013715992377,-37.74978969906653,EAC,2003-04-02 12:00:00,497049,28,129,21.0739688873291,35.60420227050781
152.00974998577027,-37.84585066185589,EAC,2003-04-02 12:00:00,497049,29,144,21.324874877929688,35.60354995727539
152.20315480673372,-37.8894734298818,EAC,2003-04-02 12:00:00,497049,30,150,21.076169967651367,35.60029220581055
152.15342213848598,-37.71919865712047,EAC,2003-04-02 12:00:00,497049,33,147,21.38926315307617,35.60325241088867
152.0760602101006,-37.59670814917724,EAC,2003-04-02 12:00:00,497049,35,144,21.392147064208984,35.60145568847656
151.98212072563263,-37.531005137268785,EAC,2003-04-02 12:00:00,497049,36,140,21.40900421142578,35.6170539855957
151.8550261289995,-37.40381508416894,EAC,2003-04-02 12:00:00,497049,38,135,21.77870178222656,35.64115524291992
151.6726730120911,-37.55729329552171,EAC,2003-04-02 12:00:00,497049,33,132,21.510665893554688,35.622642517089844
151.55110426748547,-37.893834286184756,EAC,2003-04-02 12:00:00,497049,25,132,20.99922752380371,35.60421371459961
151.35769944652202,-38.007125853344924,EAC,2003-04-02 12:00:00,497049,22,127,20.925973892211914,35.605247497558594
151.71135397628373,-37.97228551856675,EAC,2003-04-02 12:00:00,497049,25,138,21.138559341430664,35.60699844360352
152.0705343580731,-37.96357284976809,EAC,2003-04-02 12:00:00,497049,27,147,21.18386459350586,35.61442947387695
152.18657725065114,-37.867665274027466,EAC,2003-04-02 12:00:00,497049,30,149,21.183740615844727,35.608097076416016
152.39655962769717,-37.00329862568839,EAC,2003-04-02 12:00:00,497049,49,146,21.646080017089844,35.63178634643555
