xtime,yEAC,yTSW,yEACr,yTSWr,xmonth
2003-09-15 12:00:00,151,11970,0.012457718010065176,0.9875422819899349,9
2003-09-16 12:00:00,152,11969,0.012540219453840443,0.9874597805461596,9
2003-09-17 12:00:00,160,11961,0.013200231004042572,0.9867997689959574,9
2003-09-18 12:00:00,201,11920,0.016582790198828478,0.9834172098011715,9
2003-09-19 12:00:00,221,11900,0.0182328190743338,0.9817671809256662,9
2003-09-20 12:00:00,227,11894,0.0187278277369854,0.9812721722630146,9
2003-09-21 12:00:00,243,11878,0.020047850837389653,0.9799521491626103,9
2003-09-22 12:00:00,306,11815,0.025245441795231416,0.9747545582047685,9
2003-09-23 12:00:00,338,11783,0.02788548799603993,0.97211451200396,9
2003-09-24 12:00:00,281,11840,0.023182905700849764,0.9768170942991502,9
2003-09-25 12:00:00,232,11889,0.01914033495586173,0.9808596650441382,9
2003-09-26 12:00:00,281,11840,0.023182905700849764,0.9768170942991502,9
2003-09-27 12:00:00,251,11870,0.020707862387591782,0.9792921376124082,9
2003-09-28 12:00:00,648,11473,0.05346093556637241,0.9465390644336276,9
2003-09-29 12:00:00,860,11261,0.07095124164672882,0.9290487583532712,9
2003-09-30 12:00:00,1206,10915,0.09949674119297088,0.9005032588070291,9
2003-10-01 12:00:00,1233,10888,0.10172428017490306,0.8982757198250969,10
2003-10-02 12:00:00,1243,10878,0.10254929461265572,0.8974507053873443,10
2003-10-03 12:00:00,1145,10976,0.09446415312267965,0.9055358468773204,10
2003-10-04 12:00:00,1170,10951,0.0965266892170613,0.9034733107829387,10
2003-10-05 12:00:00,1179,10942,0.0972692022110387,0.9027307977889613,10
2003-10-06 12:00:00,1187,10934,0.09792921376124082,0.9020707862387591,10
2003-10-07 12:00:00,1136,10985,0.09372164012870225,0.9062783598712978,10
2003-10-08 12:00:00,1314,10807,0.10840689712069962,0.8915931028793004,10
2003-10-09 12:00:00,1237,10884,0.10205428595000413,0.8979457140499959,10
2003-10-10 12:00:00,693,11428,0.057173500536259386,0.9428264994637406,10
2003-10-11 12:00:00,522,11599,0.04306575365068889,0.9569342463493111,10
2003-10-12 12:00:00,467,11654,0.03852817424304925,0.9614718257569508,10
2003-10-13 12:00:00,483,11638,0.03984819734345351,0.9601518026565465,10
2003-10-14 12:00:00,536,11585,0.04422077386354261,0.9557792261364574,10
2003-10-15 12:00:00,601,11520,0.04958336770893491,0.9504166322910651,10
2003-10-16 12:00:00,562,11559,0.04636581140169953,0.9536341885983005,10
2003-10-17 12:00:00,556,11565,0.045870802739047936,0.954129197260952,10
2003-10-18 12:00:00,408,11713,0.033660589060308554,0.9663394109396914,10
2003-10-19 12:00:00,384,11737,0.03168055440970217,0.9683194455902978,10
2003-10-20 12:00:00,639,11482,0.052718422572395014,0.947281577427605,10
2003-10-21 12:00:00,721,11400,0.059483540961966834,0.9405164590380332,10
2003-10-22 12:00:00,456,11665,0.03762065836152133,0.9623793416384787,10
2003-10-23 12:00:00,650,11471,0.053625938453922946,0.9463740615460771,10
2003-10-24 12:00:00,948,11173,0.07821136869895223,0.9217886313010478,10
2003-10-25 12:00:00,966,11155,0.07969639468690702,0.920303605313093,10
2003-10-26 12:00:00,831,11290,0.0685586997772461,0.9314413002227538,10
2003-10-27 12:00:00,1254,10867,0.10345681049418365,0.8965431895058164,10
2003-10-28 12:00:00,907,11214,0.07482880950416633,0.9251711904958336,10
2003-10-29 12:00:00,473,11648,0.03902318290570085,0.9609768170942992,10
2003-10-30 12:00:00,414,11707,0.03415559772296015,0.9658444022770398,10
2003-10-31 12:00:00,211,11910,0.01740780463658114,0.9825921953634189,10
2003-11-01 12:00:00,92,12029,0.007590132827324478,0.9924098671726755,11
2003-11-02 12:00:00,31,12090,0.0025575447570332483,0.9974424552429667,11
2003-11-03 12:00:00,131,11990,0.010807689134559855,0.9891923108654401,11
2003-11-04 12:00:00,422,11699,0.03481560927316228,0.9651843907268377,11
2003-11-05 12:00:00,804,11317,0.06633116079531391,0.9336688392046861,11
2003-11-06 12:00:00,1147,10974,0.09462915601023018,0.9053708439897699,11
2003-11-07 12:00:00,1385,10736,0.11426449962874351,0.8857355003712565,11
2003-11-08 12:00:00,1998,10123,0.1648378846629816,0.8351621153370185,11
2003-11-09 12:00:00,2738,9383,0.2258889530566785,0.7741110469433216,11
2003-11-10 12:00:00,3613,8508,0.2980777163600363,0.7019222836399637,11
2003-11-11 12:00:00,4121,8000,0.33998844979787146,0.6600115502021285,11
2003-11-12 12:00:00,3401,8720,0.28058741027967987,0.7194125897203201,11
2003-11-13 12:00:00,3494,8627,0.28826004455077964,0.7117399554492203,11
2003-11-14 12:00:00,3959,8162,0.32662321590627835,0.6733767840937216,11
2003-11-15 12:00:00,4076,8045,0.3362758848279845,0.6637241151720155,11
2003-11-16 12:00:00,1946,10175,0.16054780958666776,0.8394521904133322,11
2003-11-17 12:00:00,1765,10356,0.14561504826334462,0.8543849517366554,11
2003-11-18 12:00:00,3162,8959,0.2608695652173913,0.7391304347826086,11
2003-11-19 12:00:00,3757,8364,0.30995792426367463,0.6900420757363254,11
2003-11-20 12:00:00,4742,7379,0.39122184638231167,0.6087781536176883,11
2003-11-21 12:00:00,5115,7006,0.4219948849104859,0.578005115089514,11
2003-11-22 12:00:00,3988,8133,0.3290157577757611,0.6709842422242389,11
2003-11-23 12:00:00,3160,8961,0.2607045623298408,0.7392954376701593,11
2003-11-24 12:00:00,1817,10304,0.14990512333965844,0.8500948766603416,11
2003-11-25 12:00:00,1204,10917,0.09933173830542034,0.9006682616945797,11
2003-11-26 12:00:00,1309,10812,0.10799438990182328,0.8920056100981767,11
2003-11-27 12:00:00,1723,10398,0.14214998762478342,0.8578500123752165,11
2003-11-28 12:00:00,3075,9046,0.25369193960894315,0.7463080603910568,11
2003-11-29 12:00:00,2797,9324,0.2307565382394192,0.7692434617605808,11
2003-11-30 12:00:00,3142,8979,0.259219536341886,0.740780463658114,11
2003-12-01 12:00:00,3741,8380,0.30863790116327033,0.6913620988367296,12
2003-12-02 12:00:00,4731,7390,0.3903143305007838,0.6096856694992162,12
2003-12-03 12:00:00,5777,6344,0.47661084068971205,0.523389159310288,12
2003-12-04 12:00:00,9298,2823,0.7670984242224239,0.23290157577757611,12
2003-12-05 12:00:00,4359,7762,0.3596237934163848,0.6403762065836152,12
2003-12-06 12:00:00,3598,8523,0.29684019470340733,0.7031598052965927,12
2003-12-07 12:00:00,3581,8540,0.2954376701592278,0.7045623298407722,12
2003-12-08 12:00:00,3897,8224,0.3215081263922119,0.6784918736077882,12
2003-12-09 12:00:00,5982,6139,0.49352363666364163,0.5064763633363584,12
2003-12-10 12:00:00,7245,4876,0.5977229601518027,0.40227703984819735,12
2003-12-11 12:00:00,10021,2100,0.8267469680719413,0.17325303192805874,12
