bath_salt,bath_temp,full_salt,full_temp,mont_salt,mont_temp,xtime
35.40993957289036,19.317328023766464,35.58648122260795,20.929112456181432,35.53638360008009,20.05754304761953,1994-01-01 12:00:00
35.402358317303154,19.387881938784503,35.58695503438171,20.997978420523506,35.531180538876704,20.07857469616246,1994-01-02 12:00:00
35.411841539457846,19.48497517519487,35.59328546265192,21.118886417804028,35.53772155204118,20.184302847789226,1994-01-03 12:00:00
35.402222140678106,19.201511555928118,35.59109868972611,21.07201642937397,35.52935594085198,20.00284998156908,1994-01-04 12:00:00
35.39482084429876,19.06470941272747,35.590617760289334,21.06127505258762,35.52215145580177,19.904068822927098,1994-01-05 12:00:00
35.393085133993374,18.93742643742403,35.594691164274636,21.10898927921962,35.52209450307966,19.85595163557756,1994-01-06 12:00:00
35.38704561538927,18.852262744730695,35.594091450181615,21.115624242819887,35.515672256664445,19.784633769236695,1994-01-07 12:00:00
35.374708700035995,18.397481284472878,35.594630548008084,20.890219411699697,35.51020613623882,19.461873947329423,1994-01-08 12:00:00
35.36037334430614,18.184828801457616,35.596750532732024,20.822512809105728,35.50774541089264,19.34462884296674,1994-01-09 12:00:00
35.35544845488857,18.397512412863556,35.59664919384045,20.99655475432345,35.499729163132244,19.417234553538453,1994-01-10 12:00:00
35.35857218485945,18.979738633078032,35.5924955631933,21.239187371680647,35.491554760324426,19.71199681753349,1994-01-11 12:00:00
35.37442565180384,19.329891435329287,35.59368484109338,21.417424006132038,35.49977957732163,19.99103902276873,1994-01-12 12:00:00
35.38512174024323,19.26083379209582,35.592177028261034,21.354135044218438,35.50244767704585,20.033147882696095,1994-01-13 12:00:00
35.38510165257757,18.697863645063787,35.59300083795816,21.202559402757878,35.51703365440988,19.823213643651552,1994-01-14 12:00:00
35.39069221243037,18.67051359677963,35.593922203321405,21.09647024249236,35.516860855704394,19.7081124024712,1994-01-15 12:00:00
35.40324597776476,18.98257915347004,35.59299368567616,21.110322156033888,35.513974114526455,19.79928538417595,1994-01-16 12:00:00
35.41562465886695,19.361760096247462,35.59225627363205,21.230569205478062,35.52093905030713,20.04555558715785,1994-01-17 12:00:00
35.432431834702044,19.934588464005117,35.58996217745128,21.5292987878562,35.53474895804775,20.554963313233273,1994-01-18 12:00:00
35.43851317667889,20.042811932520564,35.57424909228018,21.783652630156,35.542732860538635,20.803195965538997,1994-01-19 12:00:00
35.4381367432747,20.239688129943662,35.556054832144405,21.92188787464261,35.54335783584489,20.97868530047742,1994-01-20 12:00:00
35.42613813740249,19.214047561599408,35.55827591940668,21.271500911072195,35.54669436169335,20.21639783089233,1994-01-21 12:00:00
35.42852053685491,19.258272384228665,35.56365708822504,21.27755161858502,35.555046028438134,20.250133662655294,1994-01-22 12:00:00
35.43396938819539,19.52866507584955,35.568723289754736,21.422142441246574,35.56210896919056,20.43058908400569,1994-01-23 12:00:00
35.43953634532917,19.62570654301485,35.570120798008205,21.488510099892057,35.562463736036264,20.455040268997582,1994-01-24 12:00:00
35.44351843980864,19.582735891428598,35.56822251231056,21.476689523502245,35.559317139627765,20.445582303536188,1994-01-25 12:00:00
35.447773602073646,19.602723360781944,35.5686623106183,21.477363934503924,35.5588137566905,20.483998107246347,1994-01-26 12:00:00
35.469643422844186,19.64860789941517,35.57034439541367,21.440267929670078,35.569810641614026,20.54803492906752,1994-01-27 12:00:00
35.48153088388126,19.89652449846988,35.57122652330627,21.524558758049178,35.578114547198446,20.719938201860042,1994-01-28 12:00:00
35.492434498766755,20.295258288657198,35.57242148910534,21.78565937649957,35.58666152688578,21.06717158470242,1994-01-29 12:00:00
35.48709159459232,20.136810279684845,35.568463637936816,21.761456710101648,35.582071233514846,21.018953842242745,1994-01-30 12:00:00
35.46969136586722,20.185400412522053,35.56467701289021,21.851569637490247,35.569518288437564,21.09976603758031,1994-01-31 12:00:00
35.48119369230242,20.538630943644083,35.56797166693261,21.952564754065936,35.575466122815335,21.33729345339357,1994-02-01 12:00:00
35.49896319755255,20.28518630658752,35.570637644325664,21.85372442121642,35.58349635263607,21.194756768972304,1994-02-02 12:00:00
35.503796442037626,20.341264298315135,35.57481930690791,21.879427209524774,35.593310245505066,21.26618253548571,1994-02-03 12:00:00
35.48090785507709,20.421433232702157,35.567758645941325,21.91591556370627,35.586284513539894,21.32942750116512,1994-02-04 12:00:00
35.45126388872498,20.572016822607495,35.54829437486233,21.985796748465727,35.5635297846075,21.452188782791527,1994-02-05 12:00:00
35.49616001739963,20.78825049962162,35.55363998904046,22.168183453945957,35.58699421982201,21.654910759140332,1994-02-06 12:00:00
35.52502103730631,21.239802380703008,35.5523027681732,22.484152058309558,35.60395701689399,22.04798023993897,1994-02-07 12:00:00
35.5228104144785,20.89865825111412,35.547721124464466,22.374346952058332,35.60520191369643,21.876972538136,1994-02-08 12:00:00
35.52169424097344,20.799793468141125,35.549488724443485,22.298848740447326,35.60764040803135,21.778959914869056,1994-02-09 12:00:00
35.48687994228029,20.780858618975405,35.53662833226473,22.306751547055654,35.59527544521677,21.79162155447869,1994-02-10 12:00:00
35.283911782809255,20.89843559841375,35.46926626723628,22.444890500098484,35.461804936490864,21.963193251749203,1994-02-11 12:00:00
35.41739653388539,20.92492581854414,35.498487029883265,22.4655119723863,35.52115804358038,21.95202410470029,1994-02-12 12:00:00
35.45765991441433,20.933348681631404,35.51346477102244,22.53327734369461,35.549823099388604,21.96454400308171,1994-02-13 12:00:00
35.47401044447977,20.671655626095312,35.524830708890434,22.45274269076309,35.56254771026824,21.813322118152875,1994-02-14 12:00:00
