index,xmonth,xtime,yEAC,yEACr,yTSW,yTSWr
5057,5,2007-05-26 12:00:00,10756,0.8873855292467618,1365,0.11261447075323819
5058,5,2007-05-27 12:00:00,10775,0.8889530566784919,1346,0.11104694332150812
5059,5,2007-05-28 12:00:00,10825,0.8930781288672551,1296,0.10692187113274482
5060,5,2007-05-29 12:00:00,10859,0.8958831779556142,1262,0.10411682204438577
5061,5,2007-05-30 12:00:00,10640,0.8778153617688309,1481,0.12218463823116904
5062,5,2007-05-31 12:00:00,10325,0.8518274069796221,1796,0.14817259302037786
5063,6,2007-06-01 12:00:00,10284,0.8484448477848362,1837,0.15155515221516377
5064,6,2007-06-02 12:00:00,10309,0.8505073838792179,1812,0.1494926161207821
5065,6,2007-06-03 12:00:00,10296,0.8494348651101394,1825,0.15056513488986056
5066,6,2007-06-04 12:00:00,10265,0.8468773203531061,1856,0.15312267964689383
5067,6,2007-06-05 12:00:00,10225,0.8435772626020955,1896,0.15642273739790447
5068,6,2007-06-06 12:00:00,10216,0.8428347496081181,1905,0.15716525039188187
5069,6,2007-06-07 12:00:00,10141,0.8366471413249732,1980,0.1633528586750268
5070,6,2007-06-08 12:00:00,9906,0.8172593020377856,2215,0.18274069796221434
5071,6,2007-06-09 12:00:00,9749,0.8043065753650689,2372,0.1956934246349311
5072,6,2007-06-10 12:00:00,9562,0.7888788053790942,2559,0.21112119462090587
5073,6,2007-06-11 12:00:00,9313,0.7683359458790529,2808,0.23166405412094712
5074,6,2007-06-12 12:00:00,8929,0.7366553914693507,3192,0.2633446085306493
5075,6,2007-06-13 12:00:00,8684,0.7164425377444106,3437,0.2835574622555895
5076,6,2007-06-14 12:00:00,8456,0.6976322085636498,3665,0.3023677914363501
5077,6,2007-06-15 12:00:00,8257,0.681214421252372,3864,0.3187855787476281
5078,6,2007-06-16 12:00:00,8076,0.6662816599290488,4045,0.33371834007095125
5079,6,2007-06-17 12:00:00,7892,0.6511013942743998,4229,0.3488986057256002
5080,6,2007-06-18 12:00:00,7725,0.6373236531639304,4396,0.36267634683606964
5081,6,2007-06-19 12:00:00,7591,0.6262684596980447,4530,0.37373154030195527
5082,6,2007-06-20 12:00:00,7260,0.5989604818084316,4861,0.40103951819156836
5083,6,2007-06-21 12:00:00,6965,0.5746225558947281,5156,0.42537744410527184
5084,6,2007-06-22 12:00:00,6869,0.5667024172923026,5252,0.43329758270769736
5086,6,2007-06-23 12:00:00,6815,0.5622473393284383,5306,0.43775266067156177
5087,6,2007-06-24 12:00:00,6712,0.5537496906195858,5409,0.44625030938041416
5088,6,2007-06-25 12:00:00,6612,0.5454995462420592,5509,0.45450045375794074
5089,6,2007-06-26 12:00:00,6594,0.5440145202541045,5527,0.45598547974589554
5090,6,2007-06-27 12:00:00,6564,0.5415394769408465,5557,0.4584605230591535
5091,6,2007-06-28 12:00:00,6415,0.5292467618183319,5706,0.4707532381816682
5092,6,2007-06-29 12:00:00,5889,0.48585100239254186,6232,0.5141489976074581
5093,6,2007-06-30 12:00:00,5652,0.4662981602178038,6469,0.5337018397821962
5094,7,2007-07-01 12:00:00,5436,0.44847784836234633,6685,0.5515221516376536
5095,7,2007-07-02 12:00:00,5246,0.4328025740450458,6875,0.5671974259549543
5096,7,2007-07-03 12:00:00,5146,0.42455242966751916,6975,0.5754475703324808
5097,7,2007-07-04 12:00:00,4844,0.3996369936473888,7277,0.6003630063526112
5098,7,2007-07-05 12:00:00,4522,0.37307152875175315,7599,0.6269284712482468
5099,7,2007-07-06 12:00:00,4460,0.36795643923768667,7661,0.6320435607623134
5100,7,2007-07-07 12:00:00,4352,0.3590462833099579,7769,0.6409537166900421
5101,7,2007-07-08 12:00:00,4246,0.3503011302697797,7875,0.6496988697302203
5102,7,2007-07-09 12:00:00,4175,0.3444435277617358,7946,0.6555564722382642
5103,7,2007-07-10 12:00:00,4081,0.3366883920468608,8040,0.6633116079531391
5104,7,2007-07-11 12:00:00,4015,0.33124329675769326,8106,0.6687567032423067
5105,7,2007-07-12 12:00:00,3991,0.3292632621070869,8130,0.6707367378929131
5106,7,2007-07-13 12:00:00,3972,0.32769573467535684,8149,0.6723042653246432
5107,7,2007-07-14 12:00:00,3962,0.32687072023760416,8159,0.6731292797623959
5108,7,2007-07-15 12:00:00,3909,0.32249814371751506,8212,0.6775018562824849
5109,7,2007-07-16 12:00:00,3877,0.3198580975167065,8244,0.6801419024832934
5110,7,2007-07-17 12:00:00,3681,0.3036878145367544,8440,0.6963121854632456
5111,7,2007-07-18 12:00:00,3613,0.2980777163600363,8508,0.7019222836399637
5112,7,2007-07-19 12:00:00,3696,0.3049253361933834,8425,0.6950746638066166
5113,7,2007-07-20 12:00:00,3743,0.3088029040508209,8378,0.6911970959491791
5114,7,2007-07-21 12:00:00,3738,0.3083903968319446,8383,0.6916096031680554
5115,7,2007-07-22 12:00:00,3868,0.31911558452272915,8253,0.6808844154772709
5117,7,2007-07-23 12:00:00,3941,0.32513818991832355,8180,0.6748618100816764
5118,7,2007-07-24 12:00:00,4087,0.3371834007095124,8034,0.6628165992904875
5119,7,2007-07-25 12:00:00,4308,0.35541621978384624,7813,0.6445837802161538
5120,7,2007-07-26 12:00:00,4618,0.3809916673541787,7503,0.6190083326458213
5121,7,2007-07-27 12:00:00,4796,0.3956769243461761,7325,0.6043230756538239
5122,7,2007-07-28 12:00:00,4582,0.3780216153782691,7539,0.6219783846217308
5123,7,2007-07-29 12:00:00,4462,0.3681214421252372,7659,0.6318785578747628
5124,7,2007-07-30 12:00:00,4312,0.3557462255589473,7809,0.6442537744410527
5125,7,2007-07-31 12:00:00,4364,0.3600363006352611,7757,0.6399636993647388
5126,8,2007-08-01 12:00:00,4421,0.36473888293045126,7700,0.6352611170695487
5127,8,2007-08-02 12:00:00,4403,0.3632538569424965,7718,0.6367461430575035
5128,8,2007-08-03 12:00:00,4081,0.3366883920468608,8040,0.6633116079531391
5129,8,2007-08-04 12:00:00,3599,0.2969226961471826,8522,0.7030773038528174
5130,8,2007-08-05 12:00:00,3231,0.26656216483788464,8890,0.7334378351621154
5131,8,2007-08-06 12:00:00,2875,0.23719165085388993,9246,0.7628083491461101
5132,8,2007-08-07 12:00:00,2625,0.21656628991007343,9496,0.7834337100899266
5133,8,2007-08-08 12:00:00,2275,0.18769078458873031,9846,0.8123092154112697
5134,8,2007-08-09 12:00:00,1895,0.1563402359541292,10226,0.8436597640458708
5135,8,2007-08-10 12:00:00,1555,0.12828974507053872,10566,0.8717102549294613
5136,8,2007-08-11 12:00:00,1461,0.12053460935566372,10660,0.8794653906443363
5137,8,2007-08-12 12:00:00,1464,0.12078211368698952,10657,0.8792178863130105
5138,8,2007-08-13 12:00:00,1144,0.09438165167890437,10977,0.9056183483210957
5139,8,2007-08-14 12:00:00,1170,0.0965266892170613,10951,0.9034733107829387
5140,8,2007-08-15 12:00:00,1381,0.11393449385364243,10740,0.8860655061463576
5141,8,2007-08-16 12:00:00,1466,0.12094711657454005,10655,0.87905288342546
5142,8,2007-08-17 12:00:00,1387,0.11442950251629404,10734,0.885570497483706
5143,8,2007-08-18 12:00:00,1326,0.1093969144460028,10795,0.8906030855539971
5144,8,2007-08-19 12:00:00,1103,0.09099909248411847,11018,0.9090009075158815
5145,8,2007-08-20 12:00:00,1009,0.08324395676924347,11112,0.9167560432307565
5146,8,2007-08-21 12:00:00,674,0.05560597310452933,11447,0.9443940268954707
5148,8,2007-08-22 12:00:00,438,0.03613563237356654,11683,0.9638643676264335
5149,8,2007-08-23 12:00:00,333,0.027472980777163602,11788,0.9725270192228364
5150,8,2007-08-24 12:00:00,373,0.030773038528174243,11748,0.9692269614718257
5151,8,2007-08-25 12:00:00,475,0.03918818579325138,11646,0.9608118142067487
5152,8,2007-08-26 12:00:00,613,0.0505733850342381,11508,0.9494266149657619
5153,8,2007-08-27 12:00:00,779,0.06426862470093227,11342,0.9357313752990677
5154,8,2007-08-28 12:00:00,962,0.07936638891180596,11159,0.9206336110881941
5155,8,2007-08-29 12:00:00,1255,0.10353931193795891,10866,0.896460688062041
5156,8,2007-08-30 12:00:00,1306,0.10774688557049748,10815,0.8922531144295025
5157,8,2007-08-31 12:00:00,1335,0.1101394274399802,10786,0.8898605725600198
5158,9,2007-09-01 12:00:00,1533,0.1264747133074829,10588,0.8735252866925172
5159,9,2007-09-02 12:00:00,1669,0.13769490966091907,10452,0.862305090339081
5160,9,2007-09-03 12:00:00,1610,0.13282732447817835,10511,0.8671726755218216
5161,9,2007-09-04 12:00:00,1497,0.1235046613315733,10624,0.8764953386684267
5162,9,2007-09-05 12:00:00,1406,0.11599702994802409,10715,0.8840029700519759
5163,9,2007-09-06 12:00:00,1224,0.10098176718092566,10897,0.8990182328190743
5164,9,2007-09-07 12:00:00,1228,0.10131177295602672,10893,0.8986882270439732
5165,9,2007-09-08 12:00:00,1316,0.10857190000825015,10805,0.8914280999917499
5166,9,2007-09-09 12:00:00,1473,0.12152462668096692,10648,0.8784753733190331
5167,9,2007-09-10 12:00:00,1478,0.12193713389984324,10643,0.8780628661001567
5168,9,2007-09-11 12:00:00,1401,0.11558452272914777,10720,0.8844154772708522
5169,9,2007-09-12 12:00:00,1629,0.13439485190990844,10492,0.8656051480900916
5170,9,2007-09-13 12:00:00,1989,0.1640953716690042,10132,0.8359046283309958
5171,9,2007-09-14 12:00:00,2334,0.192558369771471,9787,0.807441630228529
5172,9,2007-09-15 12:00:00,2831,0.23356158732777824,9290,0.7664384126722218
5173,9,2007-09-16 12:00:00,3240,0.26730467783186207,8881,0.7326953221681379
5174,9,2007-09-17 12:00:00,3365,0.2776173583037703,8756,0.7223826416962297
