xtime,yEAC,yTSW,yEACr,yTSWr,xmonth
1994-01-01 12:00:00,10097,2024,0.8330170777988615,0.16698292220113853,1
1994-01-02 12:00:00,10123,1998,0.8351621153370185,0.1648378846629816,1
1994-01-03 12:00:00,10237,1884,0.8445672799273988,0.15543272007260128,1
1994-01-04 12:00:00,10187,1934,0.8404422077386354,0.15955779226136457,1
1994-01-05 12:00:00,10132,1989,0.8359046283309958,0.1640953716690042,1
1994-01-06 12:00:00,10119,2002,0.8348321095619173,0.16516789043808267,1
1994-01-07 12:00:00,10027,2094,0.8272419767345929,0.17275802326540715,1
1994-01-08 12:00:00,9808,2313,0.8091741605478096,0.19082583945219042,1
1994-01-09 12:00:00,9647,2474,0.7958914280999918,0.20410857190000825,1
1994-01-10 12:00:00,9719,2402,0.8018315320518109,0.1981684679481891,1
1994-01-11 12:00:00,9956,2165,0.821384374226549,0.17861562577345103,1
1994-01-12 12:00:00,10157,1964,0.8379671644253774,0.16203283557462256,1
1994-01-13 12:00:00,10016,2105,0.826334460853065,0.17366553914693508,1
1994-01-14 12:00:00,9956,2165,0.821384374226549,0.17861562577345103,1
1994-01-15 12:00:00,9839,2282,0.8117317053048428,0.18826829469515716,1
1994-01-16 12:00:00,9848,2273,0.8124742182988203,0.18752578170117978,1
1994-01-17 12:00:00,10022,2099,0.8268294695157166,0.17317053048428346,1
1994-01-18 12:00:00,10306,1815,0.8502598795478921,0.1497401204521079,1
1994-01-19 12:00:00,10471,1650,0.863872617770811,0.13612738222918902,1
1994-01-20 12:00:00,10459,1662,0.8628826004455078,0.1371173995544922,1
1994-01-21 12:00:00,9877,2244,0.814866760168303,0.18513323983169705,1
1994-01-22 12:00:00,9903,2218,0.8170117977064598,0.18298820229354013,1
1994-01-23 12:00:00,10014,2107,0.8261694579655144,0.1738305420344856,1
1994-01-24 12:00:00,10015,2106,0.8262519594092896,0.17374804059071033,1
1994-01-25 12:00:00,9998,2123,0.8248494348651101,0.17515056513488986,1
1994-01-26 12:00:00,10014,2107,0.8261694579655144,0.1738305420344856,1
1994-01-27 12:00:00,10087,2034,0.8321920633611088,0.16780793663889118,1
1994-01-28 12:00:00,10211,1910,0.8424222423892418,0.15757775761075818,1
1994-01-29 12:00:00,10500,1621,0.8662651596402937,0.1337348403597063,1
1994-01-30 12:00:00,10388,1733,0.8570249979374639,0.1429750020625361,1
1994-01-31 12:00:00,10429,1692,0.8604075571322498,0.1395924428677502,1
1994-02-01 12:00:00,10869,1252,0.8967081923933669,0.10329180760663312,2
1994-02-02 12:00:00,10794,1327,0.890520584110222,0.10947941588977807,2
1994-02-03 12:00:00,10954,1167,0.9037208151142645,0.0962791848857355,2
1994-02-04 12:00:00,10967,1154,0.9047933338833429,0.09520666611665704,2
1994-02-05 12:00:00,10753,1368,0.887138024915436,0.11286197508456398,2
1994-02-06 12:00:00,11178,943,0.9222011385199241,0.0777988614800759,2
1994-02-07 12:00:00,11793,328,0.9729395264417128,0.02706047355828727,2
1994-02-08 12:00:00,11652,469,0.9613068228694002,0.03869317713059978,2
1994-02-09 12:00:00,11616,505,0.9583367708934907,0.04166322910650937,2
1994-02-10 12:00:00,11454,667,0.9449715370018975,0.05502846299810247,2
1994-02-11 12:00:00,10424,1697,0.8599950499133735,0.14000495008662653,2
1994-02-12 12:00:00,11276,845,0.9302862800099002,0.06971371999009983,2
1994-02-13 12:00:00,11535,586,0.951654153947694,0.048345846052305914,2
1994-02-14 12:00:00,11585,536,0.9557792261364574,0.04422077386354261,2
1994-02-15 12:00:00,11517,604,0.9501691279597393,0.0498308720402607,2
1994-02-16 12:00:00,11493,628,0.9481890933091329,0.05181090669086709,2
1994-02-17 12:00:00,11673,448,0.9630393531886808,0.0369606468113192,2
1994-02-18 12:00:00,11711,410,0.9661744080521409,0.033825591947859085,2
1994-02-19 12:00:00,11739,382,0.9684844484778483,0.03151555152215164,2
1994-02-20 12:00:00,11782,339,0.9720320105601848,0.027967989439815197,2
1994-02-21 12:00:00,11851,270,0.9777246101806781,0.02227538981932184,2
1994-02-22 12:00:00,11907,214,0.9823446910320931,0.017655308967906937,2
1994-02-23 12:00:00,11887,234,0.9806946621565877,0.01930533784341226,2
1994-02-24 12:00:00,11894,227,0.9812721722630146,0.0187278277369854,2
1994-02-25 12:00:00,11863,258,0.9787146275059814,0.021285372494018646,2
1994-02-26 12:00:00,11846,275,0.9773121029618018,0.02268789703819817,2
1994-02-27 12:00:00,11797,324,0.9732695322168138,0.026730467783186204,2
1994-02-28 12:00:00,11805,316,0.9739295437670159,0.02607045623298408,2
1994-03-01 12:00:00,11874,247,0.9796221433875093,0.020377856612490718,3
1994-03-02 12:00:00,11902,219,0.9819321838132168,0.01806781618678327,3
1994-03-03 12:00:00,11892,229,0.981107169375464,0.01889283062453593,3
1994-03-04 12:00:00,11881,240,0.9801996534939361,0.019800346506063857,3
1994-03-05 12:00:00,11843,278,0.977064598630476,0.022935401369523968,3
1994-03-06 12:00:00,11809,312,0.974259549542117,0.025740450457883014,3
1994-03-07 12:00:00,11833,288,0.9762395841927234,0.023760415807276627,3
1994-03-08 12:00:00,11772,349,0.9712069961224321,0.028793003877567856,3
1994-03-09 12:00:00,11351,770,0.9364738882930451,0.06352611170695487,3
1994-03-10 12:00:00,11125,996,0.917828561999835,0.082171438000165,3
1994-03-11 12:00:00,10923,1198,0.9011632703572312,0.09883672964276875,3
1994-03-12 12:00:00,10594,1527,0.8740202953551687,0.1259797046448313,3
1994-03-13 12:00:00,10001,2120,0.8250969391964359,0.17490306080356408,3
1994-03-14 12:00:00,9665,2456,0.7973764540879466,0.20262354591205345,3
1994-03-15 12:00:00,9658,2463,0.7967989439815196,0.20320105601848032,3
1994-03-16 12:00:00,9583,2538,0.7906113356983747,0.20938866430162528,3
1994-03-17 12:00:00,9595,2526,0.791601353023678,0.2083986469763221,3
1994-03-18 12:00:00,9726,2395,0.8024090421582377,0.19759095784176223,3
1994-03-19 12:00:00,9880,2241,0.8151142644996288,0.18488573550037127,3
1994-03-20 12:00:00,10055,2066,0.8295520171603004,0.1704479828396997,3
1994-03-21 12:00:00,10276,1845,0.8477848362346341,0.1522151637653659,3
1994-03-22 12:00:00,10503,1618,0.8665126639716195,0.1334873360283805,3
1994-03-23 12:00:00,10507,1614,0.8668426697467205,0.13315733025327944,3
1994-03-24 12:00:00,10479,1642,0.8645326293210132,0.13546737067898687,3
1994-03-25 12:00:00,10540,1581,0.8695652173913043,0.13043478260869565,3
1994-03-26 12:00:00,10608,1513,0.8751753155680224,0.12482468443197756,3
1994-03-27 12:00:00,10615,1506,0.8757528256744493,0.1242471743255507,3
1994-03-28 12:00:00,10745,1376,0.8864780133652339,0.1135219866347661,3
1994-03-29 12:00:00,10881,1240,0.8976982097186701,0.10230179028132992,3
1994-03-30 12:00:00,10859,1262,0.8958831779556142,0.10411682204438577,3
1994-03-31 12:00:00,10858,1263,0.8958006765118389,0.10419932348816105,3
1994-04-01 12:00:00,11019,1102,0.9090834089596568,0.0909165910403432,4
1994-04-02 12:00:00,10792,1329,0.8903555812226714,0.1096444187773286,4
1994-04-03 12:00:00,10758,1363,0.8875505321343123,0.11244946786568764,4
1994-04-04 12:00:00,10916,1205,0.9005857602508044,0.09941423974919561,4
1994-04-05 12:00:00,11076,1045,0.9137859912548469,0.08621400874515305,4
1994-04-06 12:00:00,10731,1390,0.8853229931523802,0.11467700684761983,4
1994-04-07 12:00:00,10414,1707,0.8591700354756209,0.14082996452437918,4
1994-04-08 12:00:00,10439,1682,0.8612325715700024,0.13876742842999754,4
1994-04-09 12:00:00,10522,1599,0.8680801914033496,0.13191980859665045,4
1994-04-10 12:00:00,10322,1799,0.8515799026482963,0.14842009735170367,4
1994-04-11 12:00:00,9950,2171,0.8208893655638974,0.17911063443610264,4
1994-04-12 12:00:00,9772,2349,0.8062041085719001,0.1937958914281,4
1994-04-13 12:00:00,9766,2355,0.8057090999092484,0.1942909000907516,4
1994-04-14 12:00:00,9760,2361,0.8052140912465968,0.19478590875340318,4
1994-04-15 12:00:00,9770,2351,0.8060391056843494,0.19396089431565053,4
1994-04-16 12:00:00,9772,2349,0.8062041085719001,0.1937958914281,4
1994-04-17 12:00:00,9707,2414,0.8008415147265077,0.19915848527349228,4
1994-04-18 12:00:00,9666,2455,0.7974589555317219,0.2025410444682782,4
1994-04-19 12:00:00,9624,2497,0.7939938948931606,0.20600610510683937,4
1994-04-20 12:00:00,9589,2532,0.7911063443610263,0.2088936556389737,4
